,Date,Open,High,Low,Close,Adj Close,Volume,NSE,SPY,DJ,NASDAQ,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_pr_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,vwap,price_movmnt,beta,ds,TS_close_pr
322,2015-11-19,2361.0,2442.100098,2361.0,2428.25,2323.447266,289124.0,7842.75,2081.23999,17732.75,5073.640136999999,18.10009799999989,81.10009799999989,52.45814326782415,2534.322,2319.843,2402.2749754999995,2427.08248285,2420.5661779410943,0,0,0,0,1,0,1,0,0.03642930003875189,0.014349853565563286,-0.0011231092218189076,-0.00024863935157681816,-0.00030738846549105414,2428.25,1.0,2.5387,2015-11-19,2435.70856076431
323,2015-11-20,2427.949951,2510.0,2425.25,2476.649902,2369.7583010000003,378408.0,7856.549805,2089.169922,17823.810547,5104.919922,-0.3000489999999445,84.75,57.44479297783685,2516.967,2329.818,2404.1949706,2423.3924804,2425.9074849943236,0,0,0,0,0,0,0,0,0.019932036193671898,0.0017595620158745717,0.0038101958630922805,0.005135162171687968,0.006165156407505146,2476.65,1.0,11.3278,2015-11-20,2437.9360210468176
324,2015-11-21,2427.949951,2510.0,2425.25,2476.649902,2369.7583010000003,378408.0,7856.549805,2089.169922,17823.810547,5104.919922,-48.699951000000056,84.75,57.44479297783685,2496.496,2342.909,2406.1149657,2419.70247795,2430.7400961377216,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2476.65,1.0,,2015-11-21,2438.4351978284058
325,2015-11-22,2427.949951,2510.0,2425.25,2476.649902,2369.7583010000003,378408.0,7856.549805,2089.169922,17823.810547,5104.919922,-48.699951000000056,84.75,57.44479297783685,2502.676,2341.129,2408.0349608000006,2421.9024779499996,2435.112458600796,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2476.65,1.0,,2015-11-22,2439.157129706572
326,2015-11-23,2481.0,2529.0,2481.0,2522.75,2413.868408,545369.0,7849.25,2086.590088,17792.679688,5102.47998,4.350097999999889,48.0,66.57912501823488,2519.346,2334.279,2422.2649657000006,2426.8124755,2443.458891115006,1,0,0,0,0,0,0,0,0.018613757774953665,-0.0009291362215197996,-0.0012348607802712408,-0.0017465883020867379,-0.0004779589175306631,2522.75,1.0,-20.0334,2015-11-23,2439.919316441697
327,2015-11-24,2515.0,2544.899902,2471.0,2476.800049,2369.901855,325768.0,7831.600098000001,2089.139893,17812.189453,5102.810059,-7.75,73.89990200000011,52.8426755440511,2522.943,2333.457,2431.899975500001,2428.1999754999997,2446.6342394850053,0,0,1,0,0,0,0,0,-0.018214146576626344,-0.0022486099945853155,0.0012219961240418353,0.0010965051550473337,6.468991574570815e-05,2476.8,0.0,8.1002,2015-11-24,2440.7738609190046
328,2015-11-25,2515.0,2544.899902,2471.0,2476.800049,2369.901855,325768.0,7831.600098000001,2088.8701170000004,17813.390625,5116.140136999999,38.199951000000056,73.89990200000011,52.8426755440511,2528.236,2334.414,2441.534985300001,2431.3249754999997,2449.507173724529,0,0,0,0,0,0,0,0,0.0,0.0,-0.00012913256833757547,6.743539322728864e-05,0.0026123014272279033,2476.8,1.0,,2015-11-25,2442.7636753417164
329,2015-11-26,2494.800049,2522.800049,2405.0,2448.149902,2342.488037,393155.0,7883.799805,2088.8701170000004,17813.390625,5116.140136999999,18.0,117.80004899999994,48.73983159550477,2529.455,2335.065,2449.0899657000014,2432.2599730499996,2449.3779097507645,0,0,0,0,0,1,0,0,-0.011567490840248329,0.006665267167220268,0.0,0.0,0.0,2448.15,0.0,-1.7355,2015-11-26,2446.2892545294726
330,2015-11-27,2433.050049,2462.800049,2425.100098,2447.850098,2342.201416,170413.0,7942.700195,2090.110107,17813.390625,5127.52002,-15.099853000000167,37.699951000000056,61.52927398243437,2530.611,2335.749,2457.344970600001,2433.1799803999993,2449.2324038697393,0,0,0,0,0,0,0,0,-0.00012235750854350247,0.00747106616820048,0.0005936175686118705,0.0,0.0022243102603272114,2447.85,0.0,-0.0164,2015-11-27,2449.6575499658766
331,2015-11-28,2433.050049,2462.800049,2425.100098,2447.850098,2342.201416,170413.0,7942.700195,2090.110107,17813.390625,5127.52002,-14.800048999999944,37.699951000000056,61.52927398243437,2531.73,2336.47,2467.839990200001,2434.0999877499994,2449.100755691669,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2447.85,1.0,,2015-11-28,2450.9048807847016
332,2015-11-29,2433.050049,2462.800049,2425.100098,2447.850098,2342.201416,170413.0,7942.700195,2090.110107,17813.390625,5127.52002,-14.800048999999944,37.699951000000056,61.52927398243437,2533.115,2338.96,2469.8000000000006,2436.0374877499994,2448.9816454353195,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2447.85,1.0,,2015-11-29,2452.01205687302
333,2015-11-30,2458.0,2515.0,2452.0,2479.25,2372.246094,565457.0,7935.25,2080.409912,17719.919922,5108.669922,10.149902000000111,63.0,66.88299333692152,2535.696,2338.559,2470.0600098000004,2437.1274901999996,2451.8643458700512,0,0,0,0,1,0,0,0,0.01282753814200599,-0.0009379927250294795,-0.004640997126186264,-0.005247215702372743,-0.0036762602440311154,2479.25,1.0,-13.6755,2015-11-30,2452.8268708684786
